SYMBOL,SERIES,GAINS
COMP-RE,BE,0.23076929425347015
EXCEL,EQ,0.20000004768371582
PEARLPOLY,EQ,0.17039112901721995
DEVIT,EQ,0.14433419650455098
TIMESCAN,SM,0.13858580926452022
PANAMAPET,EQ,0.13809520390187324
ATALREAL,SM,0.13386456614946465
TARACHAND,SM,0.12451957100872436
VMARCIND,SM,0.12314817640516493
DYNPROPP,E1,0.12012362625219025
IBULHSGFIN,EQ,0.11142389786554957
ITDC,EQ,0.10835613093964042
DCMFINSERV,BE,0.10526322834159545
KORE,SM,0.10504080770535254
MASKINVEST,BE,0.1048340146763426
1018GS2026,GS,0.10441684012969138
SUZLONPP,E1,0.10280377580168137
NATHBIOGEN,EQ,0.09732702399635546
BSL,EQ,0.09731705828410823
KEEPLEARN,BE,0.09638556293382845
DAMODARIND,EQ,0.0947136363995376
TREJHARA,EQ,0.09455778160873725
FCSSOFT,EQ,0.09433961924644257
ZENITHSTL,EQ,0.09302316297384026
GEPIL,EQ,0.09122135074994037
