SYMBOL,SERIES,GAINS
SAKHTISUG,EQ,0.20083687117248394
RAJSREESUG,EQ,0.18696581501375206
SIMBHALS,EQ,0.17932488874202393
FACT,EQ,0.17733441739188838
MADRASFERT,EQ,0.16942415493476892
MAWANASUG,EQ,0.16823533002068014
RANASUG,EQ,0.16309018321189334
UGARSUGAR,EQ,0.16217766791838287
AGROPHOS,EQ,0.15519257322483035
KCPSUGIND,EQ,0.15019767822138
MHLXMIRU,EQ,0.1497685467755353
EPL,EQ,0.13720239911760604
PAVNAIND,SM,0.12921613752134056
SILINV,EQ,0.11992256681352226
GOKUL,EQ,0.11608395876584353
THEMISMED,EQ,0.11527998046875
PONNIERODE,EQ,0.11339015077879115
KOHINOOR,EQ,0.1121856702411929
AROGRANITE,EQ,0.11010221050668967
NFL,EQ,0.10802921935589645
EXCEL,BE,0.10000002384185791
BAJAJHIND,EQ,0.09935892302295678
VISHWARAJ,EQ,0.09302316297384026
COUNCODOS,BE,0.09278356596924234
PALREDTEC,EQ,0.09204880677882891
