SYMBOL,SERIES,GAINS
IBULHSGFIN,YU,0.22669281774499808
STCINDIA,EQ,0.20517239625426545
DAMODARIND,EQ,0.19199996948242187
MSTCLTD,EQ,0.1682758199757543
RAMCOSYS,EQ,0.16104164123535156
PFOCUS,EQ,0.16022885126970476
ICICITECH,EQ,0.15109493995019035
MHHL,SM,0.13439629854462787
SBC,EQ,0.13122169993091257
PROZONINTU,EQ,0.13013700598689748
RICOAUTO,EQ,0.12530513697866916
SETCO,EQ,0.11607144757801205
JKTYRE,EQ,0.11235633937791846
TANLA,EQ,0.11165445645756834
DYNPROPP,E1,0.1111111111111111
INNOVANA,SM,0.10498424253253155
MEDICO,BE,0.10493135525423959
BIKAJI,EQ,0.10426358166283108
DHRUV,EQ,0.10133334689670138
PRECISION,SM,0.10012515453343103
DHANILOANS,NX,0.1
GOLDSTAR,SM,0.0993243037043391
UGARSUGAR,EQ,0.09640026626075866
AARVI,EQ,0.09610841513189586
MOREPENLAB,EQ,0.09499136191804292
