SYMBOL,SERIES,GAINS
PREMIERPOL,EQ,0.2178709284893033
WEIZMANIND,EQ,0.16136687466754923
SADBHAV,EQ,0.15000002724783762
HPL,EQ,0.13744321902939913
CHEMPLASTS,EQ,0.12190718503342461
AXITA,EQ,0.11666666666666667
ICICIGOLD,EQ,0.10545025313950936
667GS2035,GS,0.1036994965120596
HINDMOTORS,EQ,0.09090909090909091
VEEKAYEM,SM,0.08597280069191586
BOHRAIND,BE,0.08284600718422287
JPASSOCIAT,EQ,0.08080810318795033
MARALOVER,EQ,0.07829462095748546
LTTS,EQ,0.07544049238272026
SALASAR,EQ,0.07320435511964503
SANWARIA,BZ,0.07142858967489157
MEGAFLEX,SM,0.07096774193548387
AMJLAND,EQ,0.06951874566766655
GREENPOWER,EQ,0.06857147216796874
HUBTOWN,BE,0.06715065091475889
TV18BRDCST,EQ,0.06542057978711648
KHAITANLTD,BE,0.065
NETWORK18,EQ,0.06453959063953471
DHANBANK,EQ,0.06382973789436605
MAXVIL,EQ,0.06327160493827161
