SYMBOL,SERIES,GAINS
JAIBALAJI,EQ,0.19367992146312035
MALUPAPER,EQ,0.19067795788272673
ASTRON,EQ,0.16860462150553232
BALKRISHNA,EQ,0.16666666666666666
JUNIORBEES,EQ,0.1492362351044331
NELCAST,EQ,0.1286939924082798
NITCO,EQ,0.12761906215122767
FACT,EQ,0.12576927771935095
PARSVNATH,EQ,0.12365587042417074
SUMEETINDS,EQ,0.1230769524207482
PATINTLOG,EQ,0.11827961252793087
KANDARP,SM,0.11724143192685883
SPIC,EQ,0.11663222820662571
CHEMPLASTS,EQ,0.10316727204518479
MADRASFERT,EQ,0.10248816788500442
FEL,EQ,0.09999998410542806
GENUSPAPER,EQ,0.09562841928736032
CONFIPET,EQ,0.09212198578315108
DONEAR,EQ,0.09204543720592152
MURUDCERA,EQ,0.09135201144204759
GRAVITA,EQ,0.0884127695743403
SREIBNPNCD,Y7,0.08571428571428572
SHRIRAMFIN,YN,0.0842235495024355
CEREBRAINT,EQ,0.08273385638597493
IRFC,EQ,0.08194235813118043
