SYMBOL,SERIES,GAINS
BALPHARMA,EQ,0.13664957112244844
THYROCARE,EQ,0.1345203975490692
IOLCP,EQ,0.13245501737673174
VIJAYA,EQ,0.11723489084157672
VINEETLAB,EQ,0.10646038931570996
MPTODAY,SM,0.10280367167967255
PANACEABIO,EQ,0.08578604943606562
SOLARA,EQ,0.07617823945760453
GLENMARK,EQ,0.0740153810682202
GAL,EQ,0.06944444628409402
AMEYA,SM,0.0681293490743192
JINDWORLD,EQ,0.06737092067378228
IPSL,SM,0.06317038529169157
METROPOLIS,EQ,0.06037277522425981
MOREPENLAB,EQ,0.0576922818283599
GAYAHWS,EQ,0.05555557027275219
TIJARIA,BE,0.053435098387882775
WELENT,EQ,0.05317434949758603
UGROCAP,N6,0.05152471083070452
FELIX,SM,0.05124837850299246
SUBCAPCITY,EQ,0.051098917866801166
ALLETEC,ST,0.05
OILCOUNTUB,EQ,0.04970762353846626
GICL,SM,0.049237946049002355
FINPIPE,EQ,0.048828729626307375
