SYMBOL,SERIES,GAINS
COMP-RE,BE,0.36585366704646943
LFIC,EQ,0.18578428380629597
BCLIND,EQ,0.16564885496183207
RITEZONE,SM,0.16209476926027405
SBC,EQ,0.15384615384615385
NAGREEKEXP,EQ,0.14877101611884722
NILAINFRA,EQ,0.13986007130416028
PFOCUS,EQ,0.13655849745875293
ALKALI,EQ,0.13411567133873808
NIACL,EQ,0.12524465199583323
BHANDARI,EQ,0.12121220294729687
DYNPROPP,E1,0.11982085418008243
SREIBNPNCD,NU,0.11378683444903463
RADHIKAJWE,EQ,0.10528166864959287
TIDEWATER,EQ,0.1038385088874003
CHEMBOND,EQ,0.10170864292441331
ADFFOODS,EQ,0.10060001627604166
SHIGAN,SM,0.09803921568627451
ACCELYA,EQ,0.09686459679994512
SHRADHA,BE,0.09266726648504076
SHUBHLAXMI,SM,0.0894117467543658
DKEGL,SM,0.08802182256132489
WEWIN,BE,0.0861678726358175
VISESHINFO,BE,0.08333325054910777
DCM,EQ,0.08089170030727508
