SYMBOL,SERIES,GAINS
ONELIFECAP,EQ,0.18450177203946594
ANDREWYU,EQ,0.1819923345048059
PEARLPOLY,EQ,0.17035399630463868
DYCL,EQ,0.1480414518702124
INDORAMA,EQ,0.13608421565370882
NXTDIGITAL,EQ,0.13316192234696336
GTLINFRA,EQ,0.11999998092651368
AHLUCONT,EQ,0.1175075494489399
SITINET,EQ,0.1111111111111111
DJML,EQ,0.10507752874339356
TIL,BZ,0.10507354956073836
GICHSGFIN,EQ,0.10441176470588236
YUKEN,EQ,0.10380899052501269
PGEL,EQ,0.10061143101775635
SPYL,BE,0.10000002384185791
IVC,EQ,0.09933774583481174
SETCO,EQ,0.09745759321539939
HATHWAY,EQ,0.0942856924874442
CHEMBOND,EQ,0.09297641830737803
ARVEE,EQ,0.0902691005920031
UNIVASTU,EQ,0.0889423076923077
IDEA,EQ,0.08805029258608771
UCOBANK,EQ,0.08660129364361116
SURYODAY,EQ,0.08447100498006788
HTMEDIA,EQ,0.08275858561197917
