SYMBOL,SERIES,GAINS
PALASHSECU,EQ,0.21600420350915445
SITINET,EQ,0.1999999455043248
UCOBANK,EQ,0.18571425457389987
VMARCIND,SM,0.18510639921147773
INDBANK,EQ,0.1777778038611779
CENTRALBK,EQ,0.16642113650110132
SETFNIF50,EQ,0.15720279845814797
IOB,EQ,0.12591243835661448
YESBANK,EQ,0.11395352385764898
SAKUMA,EQ,0.11356461790151944
HUDCO,EQ,0.10431295731411022
BAHETI,ST,0.10429444406912887
VSCL,SM,0.10142854963030135
ARROWGREEN,EQ,0.0997980224046724
SEAMECLTD,EQ,0.09823232323232323
VSSL,EQ,0.09687835958881534
DKEGL,SM,0.09545454545454546
GOLDSTAR,SM,0.09428571428571429
DHANBANK,EQ,0.09360735982271934
MOTOGENFIN,EQ,0.09199996948242188
MAHABANK,EQ,0.09197330911149385
SWARAJ,SM,0.09010778369373443
ESSENTIA,BE,0.08974356309588596
WIPL,BE,0.08754212329221651
SECURKLOUD,EQ,0.08740162286232775
