SYMBOL,SERIES,GAINS
SKIPPER,EQ,0.2058823902986616
COUNCODOS,EQ,0.19512200227881646
BAJAJHIND,EQ,0.1946902453213203
RAYMOND,EQ,0.1743795798642792
PEARLPOLY,EQ,0.17349399428769766
ESSEN-RE1,BE,0.14814809254985223
UTINEXT50,EQ,0.13705467925969686
TOKYOPLAST,EQ,0.11082207799146698
DELTAMAGNT,EQ,0.10654587146702199
LIKHITHA,EQ,0.1046462981946853
KSHITIJPOL,BE,0.10434778185858243
SPCENET,BE,0.10236224887326253
MOKSH,EQ,0.09881423222882516
HINDWAREAP,EQ,0.09281482011571178
RAMKY,EQ,0.09131529458625993
HCC,EQ,0.09117642570944394
E2E,BE,0.09
RICOAUTO,EQ,0.08625517017187216
SSINFRA,ST,0.08187132089466918
SAKHTISUG,EQ,0.08177570239228761
MTARTECH,EQ,0.0811248117665026
IPSL,SM,0.08076926989433093
NELCAST,EQ,0.07954545454545454
ASPINWALL,EQ,0.07895973095336259
AIROLAM,EQ,0.07852197657705358
