SYMBOL,SERIES,GAINS
UNIVASTU,EQ,0.21217952630458733
FIVESTAR,EQ,0.20777326906948743
PSB,EQ,0.17519688306188033
DTIL,EQ,0.17186458889731238
JNPT,N1,0.16952380952380952
TIJARIA,EQ,0.16161620637590066
VIVIANA,SM,0.13882356531479778
SUMEETINDS,EQ,0.1376146837152143
PASHUPATI,SM,0.12275588085262645
JAGSNPHARM,EQ,0.10861030878257175
SRTRANSFIN,Z5,0.10558375634517767
KOTHARIPET,EQ,0.10207216224296466
JSL,EQ,0.09977708898698137
PNCINFRA,EQ,0.09496051365021804
PONNIERODE,EQ,0.09470495550066188
NAVKARCORP,EQ,0.09406784833487818
INDBANK,EQ,0.09386275821333907
TARC,EQ,0.09070295098416598
DONEAR,EQ,0.08841679023253392
TRACXN,EQ,0.08690019079423977
VISESHINFO,BE,0.08333325054910777
ZENITHSTL,EQ,0.08247424808923481
DPSCLTD,EQ,0.08178441613894914
SOMICONVEY,EQ,0.07865172499089663
IDBI,EQ,0.07706423418237529
