SYMBOL,SERIES,GAINS
NIFTYBEES,EQ,0.15365436327018414
SIMPLEXINF,EQ,0.14412957936646
TRU,EQ,0.14129516574233783
DIGISPICE,EQ,0.14003941552819524
SKIPPER,EQ,0.13975700112864708
AURIONPRO,EQ,0.13851742411768714
CROWN,EQ,0.1319533835129679
VENKEYS,EQ,0.12043838291952055
OPTIEMUS,EQ,0.11896551724137931
CENTRALBK,EQ,0.10701751708984375
PULZ,SM,0.10393698384442668
MPTODAY,SM,0.10259742241401176
KEC,EQ,0.10098691477449982
PSB,EQ,0.09705369844150777
AAATECH,EQ,0.09365081787109375
UNIINFO,EQ,0.08974360750872633
CHEMPLASTS,EQ,0.08808774022935432
INDSWFTLAB,EQ,0.08214023666876825
KARURVYSYA,EQ,0.0819512343988186
ENERGYDEV,EQ,0.08158507868324125
J&KBANK,EQ,0.0796848191479369
VIVO,SM,0.0784313725490196
PRICOLLTD,EQ,0.07747987639808143
PTL,EQ,0.07704405099746539
SEPC,EQ,0.07655504357287837
