SYMBOL,SERIES,GAINS
NHBTF2023,N1,0.25291733202309297
GOCLCORP,EQ,0.18084176427567125
SREIBNPNCD,NW,0.17516341863893994
PROZONINTU,EQ,0.16249997275216238
SUNFLAG,EQ,0.13210529528166118
LSIL,EQ,0.13114754098360656
SPECIALITY,EQ,0.13078274345781793
PILITA,EQ,0.130434803211975
MARATHON,EQ,0.13008796665475467
GICRE,EQ,0.12421249904088916
SILINV,EQ,0.1210865078013313
MIRCELECTR,EQ,0.12044815532677583
DALMIASUG,EQ,0.1176940863337126
SIMBHALS,EQ,0.11480868055013395
GREENPOWER,EQ,0.11453737386502257
ORTINLAB,EQ,0.11300637664448829
PDMJEPAPER,EQ,0.11293863373266634
EUROTEXIND,EQ,0.1059907445251625
SPCENET,BE,0.1052631892044512
USHAMART,EQ,0.10496815205299959
GICHSGFIN,EQ,0.1040294936268336
FRETAIL,BZ,0.1034482560174792
SEYAIND,BE,0.10337973840580386
KOTARISUG,EQ,0.09989147372485355
MASKINVEST,BE,0.09942640227142979
