SYMBOL,SERIES,GAINS
BLBLIMITED,EQ,0.14832537981107027
CREATIVE,EQ,0.1478900404041953
FACT,EQ,0.12555487276424146
MCL,EQ,0.12355841995115553
SUZLONPP,E1,0.12230221651755728
MHHL,SM,0.1111111111111111
DHANBANK,EQ,0.1045576837975895
SUZLON,EQ,0.10215051503026583
JSL,EQ,0.10079715305283685
SALASAR,EQ,0.10000003467906605
SEPC,EQ,0.09999996682871944
ROSSELLIND,EQ,0.09623828278066222
SOFTTECH,EQ,0.09507443481012857
JPPOWER,EQ,0.09210530195870277
HECPROJECT,EQ,0.08757057459036727
TEMBO,EQ,0.08681820956143466
VINNY,EQ,0.08572869257880379
TIPSFILMS,EQ,0.0852297860110093
WABAG,EQ,0.08339458356206955
NELCAST,EQ,0.08261285879133826
MGEL,EQ,0.08258258447464
NFL,EQ,0.08240342037872184
SBC,EQ,0.08135591927221265
TOTAL,EQ,0.08121019108280254
TRACXN,EQ,0.08038772288576596
