SYMBOL,SERIES,GAINS
HLVLTD,EQ,0.189189131137431
KRIDHANINF,EQ,0.17391308253864507
ICICIFIN,EQ,0.16914280482700894
TARMAT,EQ,0.15665026133870844
RAJMET,EQ,0.1469534206999286
CUBEXTUB,EQ,0.139261799735813
BHANDARI,EQ,0.13675217158573788
LIKHITHA,EQ,0.1264988009592326
SIMPLEXINF,EQ,0.11574074074074074
LATTEYS,SM,0.10359411426881486
ISGEC,EQ,0.10095344155521715
TAJGVK,EQ,0.10004930341256923
STCINDIA,EQ,0.09797827762200823
SALASAR,EQ,0.09612398369367732
CMRSL,SM,0.0924370014714138
DCM,EQ,0.09122810586851243
RICOAUTO,EQ,0.0901034915581929
CLOUD,SM,0.0893009779186458
VBL,EQ,0.08579496090356212
GOCOLORS,EQ,0.08482695260509095
HUDCO,EQ,0.0844353526417806
MUKANDLTD,EQ,0.08313200925291817
SAKAR,EQ,0.0805999755859375
MORARJEE,EQ,0.08018862237791305
DYNPROPP,E1,0.07988489634620353
