SYMBOL,SERIES,GAINS
FACT,EQ,0.20225630077758758
MADRASFERT,EQ,0.20048905228491978
INDBANK,EQ,0.1527987701554238
SWASTIK,SM,0.1420525438969476
AGROPHOS,EQ,0.13359786611078386
GREENPOWER,EQ,0.12432428308435388
UCL,SM,0.12057871532650281
MIRCELECTR,EQ,0.11656451624604752
INDIANCARD,EQ,0.11473405003880349
ARIES,EQ,0.11413217672061547
GICRE,EQ,0.10687503814697266
NFL,EQ,0.10441767068273092
EMAMIREAL,EQ,0.09999995761447483
SHAHALLOYS,EQ,0.0999181386576552
PROZONINTU,EQ,0.09775973932642233
IOB,EQ,0.0859375
MTNL,EQ,0.0857700115266322
NAVA,EQ,0.08527760480300367
UCOBANK,EQ,0.08206677273611641
MHHL,SM,0.07995842891202937
DHANBANK,EQ,0.07939916060285317
MAHINDCIE,EQ,0.07825344555998502
KHAICHEM,EQ,0.0777926375122329
UNIENTER,EQ,0.07161801566353183
LAXMICOT,EQ,0.0715789794921875
