SYMBOL,SERIES,GAINS
BLBLIMITED,EQ,0.21391751031615092
HECPROJECT,EQ,0.1993619782009827
LPDC,EQ,0.18852460874533433
BURNPUR,EQ,0.1862745693856514
NITCO,EQ,0.18220335455743572
KANPRPLA,EQ,0.1715789794921875
RAJTV,EQ,0.16923075455885667
NEXTMEDIA,EQ,0.16071430548113252
SITINET,EQ,0.1562499976716936
AGRITECH,EQ,0.15537019070701574
OPTIEMUS,EQ,0.148478332934635
WEALTH,EQ,0.14210437926501127
MITTAL,EQ,0.1385280866989848
CUBEXTUB,EQ,0.1246753048587155
LASA,EQ,0.11653545710045522
GOKULAGRO,EQ,0.11467115218461539
HERCULES,EQ,0.11443297396001127
KANANIIND,EQ,0.11214951688373453
PPAP,EQ,0.11017696414373618
GAL,EQ,0.10909089175137607
FACT,EQ,0.10060968990957823
HIKAL,EQ,0.09632047938825763
USASEEDS,SM,0.09543297420942579
KOTAKNIFTY,EQ,0.09396788054403031
SIDDHIKA,SM,0.09248554913294797
