SYMBOL,SERIES,GAINS
SECL,SM,0.2079385580768642
GREENPOWER,EQ,0.1308411773047256
HUHTAMAKI,EQ,0.12681809895653864
DESTINY,SM,0.10160425353007378
JBMA,EQ,0.09655558268229167
SGBNOV25,GB,0.0940346196565802
MOREPENLAB,EQ,0.09104475334509095
UMANGDAIRY,EQ,0.08369665526536658
BMETRICS,SM,0.08324382384532761
PULZ,SM,0.0799999571683114
LAKPRE,BZ,0.06956523397694463
ZENITHSTL,EQ,0.06930690919075733
SGBDEC2513,GB,0.06577415599534342
NECLIFE,EQ,0.06444447835286458
E2E,EQ,0.062345458140419245
BIOFILCHEM,EQ,0.0608614214818884
BTML,SM,0.05921054502823629
AJANTPHARM,EQ,0.058103469322467675
LOTUSEYE,BE,0.056436330548531706
TIL,BZ,0.05566670735677083
DHUNINV,EQ,0.05479954163889414
DELPHIFX,EQ,0.05433074070086942
ZIMLAB,EQ,0.05404182252586735
JALAN,SM,0.05306119334941008
KOTHARIPRO,EQ,0.05040322580645161
