SYMBOL,SERIES,GAINS
YAARI,EQ,0.18791940867585033
SEPC,EQ,0.16867464895881173
KAUSHALYA,EQ,0.16666660043928622
SATIN,EQ,0.16350072660410356
SADBHAV,EQ,0.15555551317003039
JUNIORBEES,EQ,0.14872424129765244
ALPA,EQ,0.14727269952947444
COUNCODOS,EQ,0.14705882627933775
SHARDACROP,EQ,0.1399313361475615
NAGREEKEXP,EQ,0.13523123942813028
GTLINFRA,EQ,0.11999998092651368
INDTERRAIN,EQ,0.1198696670780741
ORTEL,BZ,0.10526312157057613
KRISHIVAL,SM,0.10398463469489119
JKLAKSHMI,EQ,0.10259834218875148
HITECHGEAR,EQ,0.101857195960952
ANSALAPI,BE,0.10181815407492897
TEGA,EQ,0.10000002134096372
GTL,EQ,0.09933774583481174
BAJAJHIND,EQ,0.09459463203797944
MPTODAY,SM,0.0945945945945946
TFCILTD,EQ,0.09423074966821915
TTKHLTCARE,EQ,0.09289231367410816
FELIX,SM,0.09172930036272321
KECL,EQ,0.09166664547390407
